,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
79,2020-10-23,456.0589836352766,390.18958442962685,531.9440115930406,456.0589836352766,456.0589836352766,5.69460188232111,5.69460188232111,5.69460188232111,5.69460188232111,5.69460188232111,5.69460188232111,0.0,0.0,0.0,461.75358551759774
80,2020-10-26,461.7245818595995,392.7619408324816,530.5965843129995,461.7245818595995,461.7245818595995,2.6470857360784343,2.6470857360784343,2.6470857360784343,2.6470857360784343,2.6470857360784343,2.6470857360784343,0.0,0.0,0.0,464.37166759567793
81,2020-10-27,464.37326668570086,396.3570642143165,543.0570542459111,464.37326668570086,464.37326668570086,5.945052506921857,5.945052506921857,5.945052506921857,5.945052506921857,5.945052506921857,5.945052506921857,0.0,0.0,0.0,470.3183191926227
82,2020-10-28,467.0219515118021,403.3722526804443,541.6065913710091,467.0219515118021,467.0219515118021,5.1387646256449875,5.1387646256449875,5.1387646256449875,5.1387646256449875,5.1387646256449875,5.1387646256449875,0.0,0.0,0.0,472.1607161374471
83,2020-10-29,469.6706363379034,404.1541275802729,546.1394832282963,469.6706363379034,469.6706363379034,4.311650446164592,4.311650446164592,4.311650446164592,4.311650446164592,4.311650446164592,4.311650446164592,0.0,0.0,0.0,473.982286784068
84,2020-10-30,472.3193211640047,403.44366686681826,550.9470353320328,472.3193211640047,472.3193211640047,5.694601882318043,5.694601882318043,5.694601882318043,5.694601882318043,5.694601882318043,5.694601882318043,0.0,0.0,0.0,478.01392304632276
85,2020-11-02,480.2653756423086,415.13840269348447,554.4620238960541,480.2653756423086,480.2653756423086,2.6470857360230537,2.6470857360230537,2.6470857360230537,2.6470857360230537,2.6470857360230537,2.6470857360230537,0.0,0.0,0.0,482.9124613783316
86,2020-11-03,482.9140604684098,418.1393797596763,557.5148833933516,482.91406046840984,482.91406046840984,5.945052506917095,5.945052506917095,5.945052506917095,5.945052506917095,5.945052506917095,5.945052506917095,0.0,0.0,0.0,488.85911297532687
87,2020-11-04,485.56274529451116,418.08968384218707,563.6256700248478,485.56274529451116,485.56274529451116,5.138764625639245,5.138764625639245,5.138764625639245,5.138764625639245,5.138764625639245,5.138764625639245,0.0,0.0,0.0,490.7015099201504
88,2020-11-05,488.2114301206124,420.25721759550777,563.7598410237247,488.2114301206124,488.2114301206124,4.311650446167639,4.311650446167639,4.311650446167639,4.311650446167639,4.311650446167639,4.311650446167639,0.0,0.0,0.0,492.52308056678004
89,2020-11-06,491.57760768976186,423.2315212745302,570.6418040947816,491.57760768976186,491.57760768976186,5.6946018823022495,5.6946018823022495,5.6946018823022495,5.6946018823022495,5.6946018823022495,5.6946018823022495,0.0,0.0,0.0,497.2722095720641
90,2020-11-09,501.6761403972102,437.26815291502874,576.165209003132,501.6761403972102,501.6761403972102,2.6470857360361504,2.6470857360361504,2.6470857360361504,2.6470857360361504,2.6470857360361504,2.6470857360361504,0.0,0.0,0.0,504.32322613324635
91,2020-11-10,505.04231796635975,441.42767067207865,578.4118202111987,505.04231796635975,505.04231796635975,5.945052506924083,5.945052506924083,5.945052506924083,5.945052506924083,5.945052506924083,5.945052506924083,0.0,0.0,0.0,510.9873704732838
92,2020-11-11,508.4084955355092,443.41026745135656,583.6643454995261,508.4084955355092,508.4084955355092,5.138764625639926,5.138764625639926,5.138764625639926,5.138764625639926,5.138764625639926,5.138764625639926,0.0,0.0,0.0,513.5472601611491
93,2020-11-12,511.77467310465863,442.892711049316,582.4016441129579,511.77467310465863,511.77467310465863,4.311650446170618,4.311650446170618,4.311650446170618,4.311650446170618,4.311650446170618,4.311650446170618,0.0,0.0,0.0,516.0863235508292
94,2020-11-13,515.1408506738081,454.1850514220269,594.2428464701222,515.1408506738081,515.1408506738081,5.694601882343146,5.694601882343146,5.694601882343146,5.694601882343146,5.694601882343146,5.694601882343146,0.0,0.0,0.0,520.8354525561513
95,2020-11-16,525.2393833812565,453.6321880140618,598.6547070374957,525.2393833812565,525.2393833812565,2.6470857360348683,2.6470857360348683,2.6470857360348683,2.6470857360348683,2.6470857360348683,2.6470857360348683,0.0,0.0,0.0,527.8864691172914
96,2020-11-17,528.605560950406,464.7655211423056,603.4116968921481,528.605560950406,528.605560950406,5.94505250691932,5.94505250691932,5.94505250691932,5.94505250691932,5.94505250691932,5.94505250691932,0.0,0.0,0.0,534.5506134573253
97,2020-11-18,532.3014782929663,464.67136074846053,612.0964914383326,532.3014782929663,532.3014782929663,5.138764625638481,5.138764625638481,5.138764625638481,5.138764625638481,5.138764625638481,5.138764625638481,0.0,0.0,0.0,537.4402429186048
98,2020-11-19,535.9973956355268,471.376807513844,608.6980531824202,535.9973956355268,535.9973956355268,4.311650446173667,4.311650446173667,4.311650446173667,4.311650446173667,4.311650446173667,4.311650446173667,0.0,0.0,0.0,540.3090460817004
99,2020-11-20,539.6933129780872,475.2896263553868,606.8100067306017,539.6933129780872,539.6933129780872,5.694601882333713,5.694601882333713,5.694601882333713,5.694601882333713,5.694601882333713,5.694601882333713,0.0,0.0,0.0,545.3879148604209
100,2020-11-23,550.7810650057684,481.2831467722923,623.5783835546322,550.7810650057684,550.7810650057684,2.647085736062341,2.647085736062341,2.647085736062341,2.647085736062341,2.647085736062341,2.647085736062341,0.0,0.0,0.0,553.4281507418307
101,2020-11-24,554.4769823483288,487.2022760369087,630.2793786059738,554.4769823483288,554.4769823483288,5.945052506926105,5.945052506926105,5.945052506926105,5.945052506926105,5.945052506926105,5.945052506926105,0.0,0.0,0.0,560.4220348552549
102,2020-11-25,558.1728996908893,491.4350632258903,629.2930957866342,558.1728996908893,558.1728996908893,5.13876462564559,5.13876462564559,5.13876462564559,5.13876462564559,5.13876462564559,5.13876462564559,0.0,0.0,0.0,563.3116643165348
103,2020-11-27,565.56473437601,500.2965930455648,642.7569163433626,565.56473437601,565.56473437601,5.694601882324282,5.694601882324282,5.694601882324282,5.694601882324282,5.694601882324282,5.694601882324282,0.0,0.0,0.0,571.2593362583343
104,2020-11-30,576.6524864036913,509.5252896900184,652.2101806729502,576.6524864036913,576.6524864036913,2.6470857360610585,2.6470857360610585,2.6470857360610585,2.6470857360610585,2.6470857360610585,2.6470857360610585,0.0,0.0,0.0,579.2995721397524
105,2020-12-01,580.3484037462518,518.3960745127142,654.7142299195565,580.3484037462518,580.3484037462518,5.9450525069097955,5.9450525069097955,5.9450525069097955,5.9450525069097955,5.9450525069097955,5.9450525069097955,0.0,0.0,0.0,586.2934562531616
